국가별,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
가나,2.90,3.71,3.91,4.35,4.59,5.22,5.60,5.81,8.27,11.02
가봉,493.76,591.21,592.61,580.66,555.45,585.91,575.59,554.53,623.76,606.57
가이아나,206.45,206.50,206.50,206.50,207.72,208.50,208.50,208.50,208.50,208.50
감비아,41.73,42.51,43.37,46.61,48.15,50.06,51.50,51.48,54.92,61.10
과테말라,7.73,7.65,7.60,7.35,7.52,7.70,7.72,7.73,7.75,7.83
그레나다,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
기니,7014.12,7485.52,8967.93,9088.32,9011.13,9183.88,9565.08,-,-,-
기니비사우,493.76,591.21,592.61,580.66,555.45,585.91,575.59,554.53,623.76,606.57
나미비아,10.84,12.88,14.71,13.31,13.23,14.45,16.46,14.78,16.36,18.45
나우루,1.11,1.33,1.35,1.30,1.34,1.44,1.45,1.33,1.44,1.51
나이지리아,158.55,192.44,253.49,305.79,306.08,306.92,358.81,401.15,425.98,-
남아메리카,,,,,,,,,,
남아프리카공화국,10.85,12.76,14.71,13.32,13.23,14.45,16.46,14.78,16.36,18.45
네팔,97.55,102.41,107.38,104.51,108.93,112.61,118.35,118.13,125.20,132.12
노르웨이,6.30,8.06,8.40,8.27,8.13,8.80,9.42,8.59,9.61,10.56
뉴질랜드,1.21,1.43,1.44,1.41,1.45,1.52,1.54,1.41,1.58,1.63
니제르,493.76,591.21,592.61,580.66,555.45,585.91,575.59,554.53,623.76,606.57
니카라과,25.96,27.26,28.62,30.05,31.55,33.12,34.34,35.17,35.87,36.44
대한민국,1053.12,1131.52,1160.41,1130.48,1100.58,1166.11,1180.01,1144.61,1292.20,1305.93
덴마크,5.61,6.73,6.73,6.60,6.31,6.67,6.54,6.29,7.08,6.89
도미니카공화국,43.55,45.05,46.06,47.53,49.51,51.29,56.52,57.22,55.14,56.16
도미니카연방,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
동티모르,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
라오스,8042.42,8127.61,8124.37,8244.84,8401.33,8679.41,9045.79,9697.92,14035.23,17688.87
라이베리아,83.89,86.19,94.43,112.71,144.06,186.43,191.52,166.15,152.93,-
러시아,38.38,60.94,67.06,58.34,62.67,64.74,72.10,73.65,68.48,85.16
레바논,1507.50,1507.50,1507.50,1507.50,1507.50,1507.50,1507.50,1507.50,1507.50,-
레소토,10.85,12.76,14.71,13.32,13.23,14.45,16.46,14.78,16.36,18.45
루마니아,3.35,4.01,4.06,4.05,3.94,4.24,4.24,4.16,4.69,4.57
르완다,682.44,719.86,787.25,831.55,861.09,899.35,943.28,988.62,1030.31,1160.10
리비아,1.27,1.38,1.39,1.39,1.36,1.40,1.39,4.51,4.81,4.81
리투아니아,2.60,-,-,-,-,-,-,-,-,-
